id,data,depoimento
1,2023-01-01,"Ambiente aconchegante e atendimento simpático; comida saborosa."
2,2023-01-02,"Atendimento excelente, mas o tempo de preparo dos pratos é muito longo."
3,2023-01-03,"A comida é deliciosa e o serviço é sempre cordial."
4,2023-01-04,"Ótima experiência, com ambiente agradável e equipe atenciosa."
5,2023-01-05,"Serviço impecável, porém a demora no preparo compromete a experiência."
6,2023-01-06,"Recomendo pela qualidade dos pratos e simpatia dos funcionários."
7,2023-01-07,"O restaurante oferece um ótimo atendimento e pratos bem servidos."
8,2023-01-08,"O atendimento é bom, mas o preparo dos pratos demora demais."
9,2023-01-09,"Local agradável com decoração charmosa e pratos bem apresentados."
10,2023-01-10,"A comida tem um sabor único e o ambiente é acolhedor."
11,2023-01-11,"Serviço atencioso, mas o tempo de preparo deixa a desejar."
12,2023-01-12,"Os preços são justos e o atendimento é de primeira."
13,2023-01-13,"Excelente qualidade dos ingredientes e um clima relaxante."
14,2023-01-14,"Atendimento cordial, mas a espera pelo prato é excessivamente longa."
15,2023-01-15,"A experiência foi positiva, com comida bem temperada e ambiente agradável."
16,2023-01-16,"Adoro este restaurante pela variedade de pratos e atendimento simpático."
17,2023-01-17,"Ótimo atendimento, contudo, o tempo de preparo é frustrante."
18,2023-01-18,"O lugar tem um clima acolhedor e a comida surpreende pelo sabor."
19,2023-01-19,"Serviço rápido e eficiente, com pratos de excelente qualidade."
20,2023-01-20,"Atendimento elogiável, mas os pratos levam muito tempo para serem servidos."
21,2023-01-21,"Ambiente agradável e decoração moderna, ótima escolha para jantar."
22,2023-01-22,"A comida é incrível, e o serviço sempre vem com um sorriso."
23,2023-01-23,"Equipe simpática, mas a demora na cozinha compromete a experiência."
24,2023-01-24,"Os sabores são marcantes e a apresentação dos pratos é impecável."
25,2023-01-25,"Experiência gastronômica diferenciada, com atendimento personalizado."
26,2023-01-26,"Atendimento de qualidade, porém o preparo dos pratos é muito lento."
27,2023-01-27,"O ambiente é limpo e bem decorado, proporcionando uma ótima experiência."
28,2023-01-28,"A variedade do cardápio é impressionante e o serviço é cordial."
29,2023-01-29,"Serviço excelente, mas o tempo de preparo dos alimentos é exagerado."
30,2023-01-30,"O restaurante tem uma atmosfera agradável e pratos de alta qualidade."
31,2023-01-31,"Fiquei satisfeito com o atendimento e a qualidade dos pratos servidos."
32,2023-02-01,"Atendimento simpático, mas a comida demora para ser servida."
33,2023-02-02,"Um ótimo local para refeições rápidas com excelente atendimento."
34,2023-02-03,"A culinária é refinada e o serviço atencioso faz a diferença."
35,2023-02-04,"Ambiente agradável, mas o tempo de preparo dos pratos é inaceitável."
36,2023-02-05,"O sabor dos pratos surpreende e a equipe é muito educada."
37,2023-02-06,"A experiência no restaurante foi muito positiva e marcante."
38,2023-02-07,"Atendimento cordial, mas a demora na cozinha atrapalha a experiência."
39,2023-02-08,"O local é bem localizado e oferece um excelente serviço."
40,2023-02-09,"Pratos saborosos e atendimento eficiente tornam a visita agradável."
41,2023-02-10,"Bom atendimento, mas o tempo de preparo é realmente longo."
42,2023-02-11,"A comida é deliciosa e a apresentação é de dar água na boca."
43,2023-02-12,"Ambiente descontraído e equipe muito simpática me conquistaram."
44,2023-02-13,"Atendimento atencioso, mas a demora na preparação dos pratos é notável."
45,2023-02-14,"O restaurante impressiona pela criatividade dos pratos e bom serviço."
46,2023-02-15,"Experiência agradável, com um ótimo equilíbrio entre sabor e preço."
47,2023-02-16,"Serviço de qualidade, mas a espera pelos pratos é demorada."
48,2023-02-17,"O ambiente é convidativo e a comida é preparada com cuidado."
49,2023-02-18,"Fui surpreendido pela variedade de opções e pela simpatia dos funcionários."
50,2023-02-19,"Atendimento bom, porém a comida demora a sair da cozinha."
51,2023-02-20,"O restaurante oferece um serviço acolhedor e pratos bem elaborados."
52,2023-02-21,"Excelente experiência gastronômica, com serviço atencioso e pratos saborosos."
53,2023-02-22,"Equipe excelente, mas o preparo dos pratos é lento demais."
54,2023-02-23,"O atendimento e a qualidade dos ingredientes me conquistaram."
55,2023-02-24,"A atmosfera do restaurante é relaxante e a comida é muito boa."
56,2023-02-25,"Atendimento simpático, mas a demora na preparação dos alimentos é um problema."
57,2023-02-26,"Gostei do ambiente e do cuidado com a apresentação dos pratos."
58,2023-02-27,"O serviço é ágil e a variedade do cardápio é surpreendente."
59,2023-02-28,"Bom atendimento, mas os pratos demoram para chegar à mesa."
60,2023-03-01,"Fiquei encantado com a qualidade dos pratos e o atendimento cordial."
61,2023-03-02,"O restaurante tem um ótimo clima e a comida é de primeira."
62,2023-03-03,"Atendimento atencioso, mas o tempo de preparo dos alimentos é elevado."
63,2023-03-04,"Experiência diferenciada, com pratos saborosos e serviço impecável."
64,2023-03-05,"Ambiente agradável e atendimento cordial me fizeram voltar sempre."
65,2023-03-06,"O serviço é excelente, mas a demora para servir os pratos é inaceitável."
66,2023-03-07,"Os sabores autênticos e o atendimento personalizado se destacam."
67,2023-03-08,"Ambiente acolhedor e pratos bem apresentados tornam a experiência única."
68,2023-03-09,"Atendimento de qualidade, mas a cozinha é lenta no preparo dos pratos."
69,2023-03-10,"Os funcionários são prestativos e a comida tem um sabor incrível."
70,2023-03-11,"O restaurante surpreende com sua criatividade e atendimento amigável."
71,2023-03-12,"Bom atendimento, mas o tempo de preparo dos pratos deixa a desejar."
72,2023-03-13,"A experiência gastronômica é completa, com pratos deliciosos e serviço rápido."
73,2023-03-14,"Adoro o local, o clima é ótimo e a comida é muito saborosa."
74,2023-03-15,"Serviço eficiente, mas a demora na preparação compromete a refeição."
75,2023-03-16,"O restaurante tem um ambiente agradável e o atendimento é sempre cordial."
76,2023-03-17,"Os pratos são bem servidos e a equipe é bastante atenciosa."
77,2023-03-18,"Atendimento excelente, mas o tempo de preparo dos pratos é elevado."
78,2023-03-19,"Local bem decorado e uma ótima seleção de pratos no cardápio."
79,2023-03-20,"A comida é saborosa e o atendimento sempre me surpreende positivamente."
80,2023-03-21,"Atendimento de qualidade, porém, os pratos levam muito tempo para serem servidos."
81,2023-03-22,"O restaurante tem um clima acolhedor e os pratos são de alta qualidade."
82,2023-03-23,"Experiência gastronômica marcante, com atendimento caloroso e pratos criativos."
83,2023-03-24,"Serviço cordial, mas o tempo de preparo dos pratos é lamentável."
84,2023-03-25,"O ambiente é tranquilo e a comida é preparada com muito capricho."
85,2023-03-26,"Ambiente agradável, com uma boa variedade de opções no cardápio."
86,2023-03-27,"Atendimento simpático, mas o preparo dos pratos é demasiadamente lento."
87,2023-03-28,"Fiquei satisfeito com a qualidade e sabor dos pratos servidos."
88,2023-03-29,"O restaurante oferece uma experiência culinária única e surpreendente."
89,2023-03-30,"Bom atendimento, mas a demora no preparo dos alimentos compromete o serviço."
90,2023-03-31,"A atmosfera do restaurante é acolhedora e os pratos são bem elaborados."
91,2023-04-01,"A comida é fresca e os funcionários são muito simpáticos."
92,2023-04-02,"Serviço excelente, mas o tempo de preparo dos pratos é demasiadamente longo."
93,2023-04-03,"O restaurante tem um charme especial e pratos deliciosos."
94,2023-04-04,"Atendimento de qualidade, mas a demora na cozinha é um problema sério."
95,2023-04-05,"Experiência agradável com um serviço rápido e uma comida de dar água na boca."
96,2023-04-06,"Atendimento bom, mas o tempo de preparo dos alimentos é realmente alto."
97,2023-04-07,"O restaurante surpreende com sua criatividade e sabores únicos."
98,2023-04-08,"Bom atendimento, mas os pratos demoram muito para serem servidos."
99,2023-04-09,"A qualidade dos ingredientes e o cuidado com a apresentação são destaque."
100,2023-04-10,"Atendimento excelente, mas a espera pelo prato é exagerada."
